,순위,제목,가수,앨범
0,1,Ditto,NewJeans,NewJeans 'OMG'
1,2,OMG,NewJeans,NewJeans 'OMG'
2,3,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
3,4,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
4,5,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
5,6,Candy,NCT DREAM,Candy - Winter Special Mini Album
6,7,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
7,8,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
8,9,After LIKE,IVE (아이브),After LIKE
9,10,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
10,11,Nxde,(여자)아이들,I love
11,12,LOVE DIVE,IVE (아이브),LOVE DIVE
12,13,우리들의 블루스,임영웅,IM HERO
13,14,마이웨이 (MY WAY) (Prod. R.Tee),저스디스 (JUSTHIS),쇼미더머니 11 Episode 1
14,15,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
15,16,다시 만날 수 있을까,임영웅,IM HERO
16,17,Monologue,테이,Monologue
17,18,London Boy,임영웅,Polaroid
18,19,무지개,임영웅,IM HERO
19,20,Polaroid,임영웅,Polaroid
20,21,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
21,22,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
22,23,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
23,24,그대를 알고,송하예,그대를 알고
24,25,아버지,임영웅,IM HERO
25,26,Shut Down,BLACKPINK,BORN PINK
26,27,A bientot,임영웅,IM HERO
27,28,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
28,29,해요 (2022),#안녕,해요 (2022)
29,30,인생찬가,임영웅,IM HERO
30,31,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
31,32,Pink Venom,BLACKPINK,BORN PINK
32,33,손이 참 곱던 그대,임영웅,IM HERO
33,34,잘가요,주호,잘가요
34,35,사랑해 진짜,임영웅,IM HERO
35,36,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
36,37,TOMBOY,(여자)아이들,I NEVER DIE
37,38,연애편지,임영웅,IM HERO
38,39,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
39,40,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
