,순위,제목,가수,앨범
0,1,Ditto,NewJeans,NewJeans 'OMG'
1,2,OMG,NewJeans,NewJeans 'OMG'
2,3,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
3,4,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
4,5,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
5,6,Candy,NCT DREAM,Candy - Winter Special Mini Album
6,7,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
7,8,After LIKE,IVE (아이브),After LIKE
8,9,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
9,10,WHEN I MOVE,카라(Kara),MOVE AGAIN
10,11,LOVE DIVE,IVE (아이브),LOVE DIVE
11,12,Nxde,(여자)아이들,I love
12,13,Shut Down,BLACKPINK,BORN PINK
13,14,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
14,15,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
15,16,오르트구름,윤하(Younha/ユンナ),YOUNHA 6th Album 'END THEORY'
16,17,새삥 (Prod. ZICO) (Feat. 호미들),지코,스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
17,18,Made You Look,Meghan Trainor(메간 트레이너),Takin' It Back
18,19,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
19,20,Pink Venom,BLACKPINK,BORN PINK
20,21,Unholy,Sam Smith(샘 스미스),Unholy
21,22,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
22,23,Monologue,테이(Tei),Monologue
23,24,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
24,25,ELEVEN,IVE (아이브),ELEVEN
25,26,TOMBOY,(여자)아이들,I NEVER DIE
26,27,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
27,28,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
28,29,그라데이션,10CM,5.3
29,30,That's Hilarious,Charlie Puth(찰리 푸스),That's Hilarious
30,31,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
31,32,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
32,33,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
33,34,STEP,카라(Kara),KARA 3rd Album STEP
34,35,STAY,The Kid LAROI,STAY
35,36,딱 10CM만,10CM,딱 10CM만
