,순위,카테고리,채널명,구독자수,조회수,비디오수
0,1,음악/댄스/가수,BLACKPINK,"83,800,000","28,613,980,000",466
1,2,음악/댄스/가수,BANGTANTV,"73,000,000","19,143,270,000","2,086"
2,3,음악/댄스/가수,HYBE LABELS,"69,500,000","25,846,740,000","1,065"
3,4,음악/댄스/가수,SMTOWN,"31,300,000","26,218,220,000","4,052"
4,5,키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],"26,500,000","11,052,880,000",223
5,6,음악/댄스/가수,JYP Entertainment,"26,200,000","18,452,100,000","1,596"
6,7,음악/댄스/가수,1MILLION Dance Studio,"25,800,000","7,627,990,000","4,848"
7,8,음악/댄스/가수,1theK (원더케이),"24,400,000","23,231,220,000","17,711"
8,9,음악/댄스/가수,Mnet K-POP,"20,100,000","13,893,500,000","30,385"
9,10,TV/방송,KBS WORLD TV,"18,600,000","14,474,590,000","61,075"
10,11,음악/댄스/가수,officialpsy,"17,800,000","10,249,830,000",123
11,12,음악/댄스/가수,JFlaMusic,"17,600,000","3,736,050,000",312
12,13,음식/요리/레시피,Jane ASMR 제인,"17,300,000","6,907,220,000","1,713"
13,14,음악/댄스/가수,TWICE,"15,200,000","4,359,550,000",970
14,15,음악/댄스/가수,BIGBANG,"14,900,000","7,565,140,000",776
15,17,음식/요리/레시피,Hongyu ASMR 홍유,"14,500,000","4,711,170,000",581
16,16,키즈/어린이,Boram Tube ToysReview [보람튜브 토이리뷰],"14,500,000","4,963,080,000",590
17,18,키즈/어린이,BIBO와 장난감,"12,800,000","3,073,890,000",170
18,19,음악/댄스/가수,Stray Kids,"11,500,000","2,562,200,000",702
19,20,키즈/어린이,핑크퐁 (인기 동요・동화),"11,100,000","6,872,410,000","2,926"
20,21,음식/요리/레시피,[햄지]Hamzy,"10,900,000","3,582,430,000",515
21,22,키즈/어린이,DuDuPopTOY,"10,800,000","4,992,160,000","2,391"
22,24,키즈/어린이,서은일상이야기,"10,700,000","2,561,440,000",694
23,23,키즈/어린이,Toymong tv 토이몽TV,"10,700,000","4,388,120,000","1,646"
24,25,음악/댄스/가수,Stone Music Entertainment,"10,600,000","9,193,980,000","9,648"
25,26,TV/방송,MBCkpop,"10,200,000","8,594,010,000","44,682"
26,27,음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,"10,000,000","1,052,910,000","1,289"
27,28,키즈/어린이,Larva TUBA,"9,900,000","4,430,360,000","2,069"
28,29,키즈/어린이,서은이야기[SeoeunStory],"9,430,000","3,009,210,000","1,196"
29,30,음식/요리/레시피,쏘영 Ssoyoung,"9,290,000","1,301,990,000",713
30,32,음악/댄스/가수,Mnet TV,"9,030,000","11,351,940,000","21,593"
31,31,음악/댄스/가수,EXO,"9,030,000","726,550,000",326
32,33,키즈/어린이,Boram Tube [宝蓝和朋友们],"9,000,000","2,413,540,000",469
33,34,뉴스/정치/사회,MBCentertainment,"8,920,000","16,585,180,000","95,189"
