,관서명,주소,전화번호
0,동작소방서,서울특별시 동작구 여의대방로16길 55(신대방동),02-847-1190
1,서대문소방서,서울특별시 서대문구 연희로 182(연희동),02-3144-1190
2,광진소방서,서울특별시 광진구 광나루로 480(구의동),02-457-0119
3,송파소방서,서울특별시 송파구 오금로51길 56(마천동),02-403-2119
4,양천소방서,서울특별시 양천구 목동서로 180(목동),02-2655-1119
5,은평소방서,서울특별시 은평구 통일로 962(진관동),02-355-0119
6,노원소방서,서울특별시 노원구 한글비석로 1길 8(하계동),02-977-0119
7,종로소방서,서울특별시 종로구 종로1길 28(수송동),02-735-6119
8,도봉소방서,서울특별시 도봉구 도봉로 666(방학동),02-3492-3437
9,용산소방서,서울특별시 용산구 한강대로 167(한강로2가),02-794-0119
10,마포소방서,서울특별시 마포구 창전로 76(신수동),02-716-0604
11,강서소방서,서울특별시 강서구 양천로 550(등촌동),02-3663-0119
12,구로소방서,서울특별시 구로구 경인로 408(고척동),02-2618-0119
13,성동소방서,서울특별시 성동구 살곶이길 331(행당동),02-2622-1777
14,관악소방서,서울특별시 관악구 관악로 97(봉천동),02-874-8119
15,서초소방서,서울특별시 서초구 사평대로 67(반포동),02-537-0119
16,중부소방서,서울특별시 중구 퇴계로 394(무학동),02-2234-0119
17,강동소방서,서울특별시 강동구 성내로 39(성내동),02-470-0119
18,강북소방서,서울특별시 강북구 한천로 911,02-6946-0119
19,성북소방서,서울특별시 성북구 종암로 27길 3(종암동),02-921-0119
20,동대문소방서,서울특별시 동대문구 장한로 34(장안동),02-2249-0119
21,영등포소방서,서울특별시 영등포구 문래로 197(영등포동4가),02-2675-0119
22,중랑소방서,서울특별시 중랑구 신내로 183(신내동),02-3423-0119
23,강남소방서,서울특별시 강남구 테헤란로 629(삼성동),02-553-3315
24,마포소방서 염리 119 안전센터,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965
25,마포소방서 신수 119 안전센터,서울특별시 마포구 창전로 76 (신수동),02-716--9121
26,서대문소방서 미근 119 안전센터,서울특별시 서대문구 통일로 113 (미근동),02-3147-0119
27,서대문소방서 홍은 119 안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-379-9119
28,서대문소방서 북가좌 119 안전센터,서울특별시 서대문구 증가로 242 (북가좌동),02-372-0119
