,순위,제목,가수,앨범
0,1,Ditto,NewJeans,NewJeans 'OMG'
1,2,OMG,NewJeans,NewJeans 'OMG'
2,3,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
3,4,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
4,5,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
5,6,After LIKE,IVE (아이브),After LIKE
6,7,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
7,8,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
8,9,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
9,10,Nxde,(여자)아이들,I love
10,11,Candy,NCT DREAM,Candy - Winter Special Mini Album
11,12,LOVE DIVE,IVE (아이브),LOVE DIVE
12,13,새삥 (Prod. by ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
13,14,우리들의 블루스,임영웅,IM HERO
14,15,다시 만날 수 있을까,임영웅,IM HERO
15,16,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
16,17,London Boy,임영웅,Polaroid
17,18,무지개,임영웅,IM HERO
18,19,Polaroid,임영웅,Polaroid
19,20,마이웨이 (MY WAY) (Prod. by R.Tee),저스디스 (JUSTHIS) & R.Tee & 던말릭 (DON MALIK) & 허성현 (Huh) & KHAN & 맥대디 (Mckdaddy) & Los,쇼미더머니 11 Episode 1
20,21,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
21,22,아버지,임영웅,IM HERO
22,23,Shut Down,BLACKPINK,BORN PINK
23,24,Monologue,테이 (Tei),Monologue
24,25,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
25,26,해요 (2022),#안녕,해요 (2022)
26,27,A bientot,임영웅,IM HERO
27,28,Pink Venom,BLACKPINK,BORN PINK
28,29,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
29,30,손이 참 곱던 그대,임영웅,IM HERO
30,31,사랑해 진짜,임영웅,IM HERO
31,32,연애편지,임영웅,IM HERO
32,33,TOMBOY,(여자)아이들,I NEVER DIE
33,34,인생찬가,임영웅,IM HERO
34,35,나의 X에게,경서,나의 X에게
35,36,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack) (Feat. FIFA Sound),정국 & 방탄소년단,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack)
36,37,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
37,38,보금자리,임영웅,IM HERO
